,Product Name,RAM,Display,Camera,Battery,Warranty,Price,Rating
359,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,11.94 cm (4.7 inch) quarter HD Display,13MP Rear Camera,3000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹12,999",4.2
360,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,5.08 cm (2 inch) QVGA Display,13MP Rear Camera | 8MP Front Camera,2900 mAh Li-Ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹12,499",4.3
361,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Quad HD+ Display,13MP Rear Camera | 5MP Front Camera,2600 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹11,333",4.3
362,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,2600 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,737",4.2
363,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,13MP + 2MP | 8MP Front Camera,3300 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹17,499",4.2
364,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,12.95 cm (5.1 inch) Full HD Display,16MP + 12MP | 10MP Front Camera,3000 mAh Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹18,499",4.2
365,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,14.48 cm (5.7 inch) Full HD Display,48MP + 8MP + 5MP | 20MP Front Camera,3000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹18,634",4.2
366,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,12.95 cm (5.1 inch) Full HD Display,13MP + 5MP | 8MP Front Camera,1900 mAh Li-Ion Battery,1 Year Manufacturer Warranty,"₹9,497",4.3
367,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,13MP Rear Camera,3800 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹15,999",4.3
368,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,14.73 cm (5.8 inch) Quad HD+ Display,8MP Rear Camera,4000 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹23,999",4.2
369,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,10.16 cm (4 inch) WVGA Display,12MP + 12MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹23,999",4.2
370,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,1 Year Manufacturer Warranty,"₹23,999",4.3
371,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,13MP Rear Camera | 8MP Front Camera,5000 mAh Li-Ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹19,999",5
372,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Quad HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹11,499",5
373,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,12MP (Dual Aperture) + 12MP + 16MP + TOF | 10MP Front Camera,5000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹12,499",4.2
374,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,Super AMOLED Display,64MP + 5MP + 2MP | 8MP Front Camera,4000 mAh Li-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹14,999",5
375,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,12.95 cm (5.1 inch) Quad HD Display,48MP + 12MP + 5MP | 32MP Front Camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹17,999",5
376,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,48MP + 8MP + 5MP | 32MP Front Camera,2600 mAh Li-Ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹11,499",4.3
377,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,14.48 cm (5.7 inch) Quad HD Display,12MP + 12MP + 12MP | 32MP Front Camera,4800 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹12,999",4
378,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,14.22 cm (5.6 inch) HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹12,499",5
379,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,13.21 cm (5.2 inch) Full HD Display,5MP Rear Camera | 2MP Front Camera,3400 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹17,999",4.2
380,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,12.95 cm (5.1 inch) Quad HD Display,2MP Rear Camera,3300 mAh Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹11,499",5
381,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,12.7 cm (5 inch) HD Display,8MP Rear Camera | 1.9MP Front Camera,2600 mAh Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,"₹14,999",5
382,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,15.24 cm (6 inch) HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,1 Year Manufacturer Warranty,"₹12,999",4.2
383,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,13.97 cm (5.5 inch) HD Display,64MP + 5MP + 8MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹12,499",4
384,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,13.21 cm (5.2 inch) Full HD Display,64MP + 12MP + 12MP | 10MP Front Camera,3400 mAh Lithium-ion Battery,Brand Warranty of 1 Year,"₹11,333",5
385,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,10.85 cm (4.27 inch) quarter HD Display,16MP + 12MP | 10MP + 8MP Dual Front Camera,6000 mAh Battery,1 Year for Mobile & 6 Months Accessories Warranty,"₹9,737",4.2
386,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,3000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹17,499",4.2
